Nom,Valeur,Groupe,Arrondi,Somme des valeurs,14548,Unnamed: 6,Groupe.1,1,2,3,4,5,6,7,8,9,10,Unnamed: 18,Unnamed: 19
Ahuntsic-Cartierville ,444,1,1,Nombre de groupes,9.0,,Somme,523.0,244.0,1314.0,1080.0,773.0,202.0,2512.0,7900.0,0.0,,,Somme des écarts (cible)
Anjou,9,2,2,Moyenne par groupe,1616.4444444444443,,écart,-1093.4444444444443,-1372.4444444444443,-302.44444444444434,-536.4444444444443,-843.4444444444443,-1414.4444444444443,895.5555555555557,6283.555555555556,-1616.4444444444443,,,2476.6031227828526
Arrondissement de Lachine,9,3,3,,,,,,,,,,,,,,,,
Côte-des-Neiges–Notre-Dame-de-Grâce,1305,3,3,,,,,,,,,,,,,,,,
Hochelaga,5,4,4,,,,,,,,,,,,,,,,
LaSalle ,43,5,5,,,,,,,,,,,,,,,,
Le Sud-Ouest,726,5,5,,,,,,,,,,,,,,,,
Mercier–Hochelaga-Maisonneuve,74,4,4,,,,,,,,,,,,,,,,
Montréal-Nord,76,1,1,,,,,,,,,,,,,,,,
Outremont,189,6,6,,,,,,,,,,,,,,,,
Plateau Mont-Royal,2512,7,7,,,,,,,,,,,,,,,,
Rivière-des-Prairies–Pointe-aux-Trembles,3,1,1,,,,,,,,,,,,,,,,
Rosemont–La Petite-Patrie,1001,4,4,,,,,,,,,,,,,,,,
Saint-Laurent,13,6,6,,,,,,,,,,,,,,,,
Saint-Léonard,81,2,2,,,,,,,,,,,,,,,,
Verdun,4,5,5,,,,,,,,,,,,,,,,
Ville-Marie,7900,8,8,,,,,,,,,,,,,,,,
Villeray–Saint-Michel–Parc-Extension,154,2,2,,,,,,,,,,,,,,,,
